Ticker
ARCB
MSGS
ATI
KALU
NEM
HEI
LION
JHX
GE
SAIC
LIN
AXTA
SMG
SARO
AU
MIDD
HRI
UNIT
AXON
WWD
TXT
SPHR
CCK
FDX
CMCSA
TDS
MLI
MSA
SLGN
MATX
UAL
RBC
VRRM
GVA
SWK
IE
UPS
BCO
PKG
SITE
HON
ROAD
GEF
CRS
RTX
CHRW
KWR
HUBG
TTEK
DD
PPG
MLM
RS
GXO
DIS
AVY
SSD
ALSN
BCPC
RHI
CLH
FCN
EMN
WSO
NG
ATR
ESAB
IFF
LPX
WM
AAL
FSS
IR
ECL
ROKU
AMCR
CTVA
PSIX
EMR
LYV
VLTO
HUBB
CRH
EXPD
NYT
AME
APG
VRSK
LII
OI
FOX
PCAR
EXLS
LSTR
GGG
IEX
CARG
EXPO
WTS
ATMU
JBHT
TPC
HNI
ASH
IAC
TKR
CMC
TRU
WAB
DE
CTAS
G
SNA
AOS
SXT
PH
AGCO
GWW
DAL
YELP
PRM
MSGE
DOV
DCI
AIT
CSW
RDDT
FOXA
XMTR
GOOGL
CNM
ADP
FAST
GOOG
MWA
NWS
KFY
LECO
IOSP
TTWO
NXST
JBTM
NWSA
PAYX
ITW
SLVM
GTLS
FYBR
AL
DAY
VMI
CAT
CTRI
RUSHA
ROK
FLS
ZD
SEE
RRX
LBRDK
ST
PRIM
WBD
XPO
ABM
RUM
TDG
ITT
LDOS
CSGS
HTZ
CWST
SSNC
CACI
FTV
WCC
ALK
SKYW
